date	agent name	num calls handled	num calls unanswered	avg call time	total talk time	total staffed time	filename
2017-03-30	Back Office1	5	1	0 days 00:01:25.000000000	0 days 00:05:41.000000000	1 days 00:00:00.000000000	20170330_000000_agent_statistics.csv
2017-03-31	Reception L1	67	32	0 days 00:02:11.000000000	0 days 01:39:15.000000000	0 days 23:59:59.000000000	20170331_000000_agent_statistics.csv
2017-03-31	Back Office3	47	46	0 days 00:02:51.000000000	0 days 01:46:09.000000000	1 days 00:00:00.000000000	20170331_000000_agent_statistics.csv
2017-03-31	Reception Desk	38	31	0 days 00:02:12.000000000	0 days 00:49:18.000000000	1 days 00:00:00.000000000	20170331_000000_agent_statistics.csv
2017-03-31	Back Office1	12	3	0 days 00:01:35.000000000	0 days 00:12:26.000000000	1 days 00:00:00.000000000	20170331_000000_agent_statistics.csv
2017-04-03	Reception L1	75	61	0 days 00:03:02.000000000	0 days 02:46:58.000000000	1 days 00:00:00.000000000	20170403_000000_agent_statistics.csv
2017-04-03	Back Office3	31	64	0 days 00:02:48.000000000	0 days 01:06:31.000000000	1 days 00:00:00.000000000	20170403_000000_agent_statistics.csv
2017-04-03	Reception Desk	61	25	0 days 00:02:56.000000000	0 days 01:59:26.000000000	1 days 00:00:00.000000000	20170403_000000_agent_statistics.csv
2017-04-03	Back Office1	52	7	0 days 00:02:11.000000000	0 days 01:27:48.000000000	1 days 00:00:00.000000000	20170403_000000_agent_statistics.csv
2017-04-05	Reception L1	19	27	0 days 00:02:44.000000000	0 days 00:32:23.000000000	1 days 00:00:00.000000000	20170405_000000_agent_statistics.csv
2017-04-05	Back Office3	31	35	0 days 00:01:48.000000000	0 days 00:49:57.000000000	1 days 00:00:00.000000000	20170405_000000_agent_statistics.csv
2017-04-05	Reception Desk	14	26	0 days 00:02:28.000000000	0 days 00:25:38.000000000	1 days 00:00:00.000000000	20170405_000000_agent_statistics.csv
2017-04-05	Back Office1	8	1	0 days 00:03:12.000000000	0 days 00:23:14.000000000	1 days 00:00:00.000000000	20170405_000000_agent_statistics.csv
2017-04-06	Reception L1	74	80	0 days 00:01:36.000000000	0 days 01:40:15.000000000	1 days 00:00:00.000000000	20170406_000000_agent_statistics.csv
2017-04-06	Back Office3	51	46	0 days 00:02:46.000000000	0 days 02:01:48.000000000	1 days 00:00:00.000000000	20170406_000000_agent_statistics.csv
2017-04-06	Reception Desk	57	28	0 days 00:02:52.000000000	0 days 01:55:48.000000000	1 days 00:00:00.000000000	20170406_000000_agent_statistics.csv
2017-04-06	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170406_000000_agent_statistics.csv
2017-04-07	Reception L1	79	68	0 days 00:02:16.000000000	0 days 02:24:08.000000000	1 days 00:00:00.000000000	20170407_000000_agent_statistics.csv
2017-04-07	Back Office3	36	18	0 days 00:04:04.000000000	0 days 02:08:44.000000000	1 days 00:00:00.000000000	20170407_000000_agent_statistics.csv
2017-04-07	Reception Desk	46	35	0 days 00:02:18.000000000	0 days 01:24:11.000000000	1 days 00:00:00.000000000	20170407_000000_agent_statistics.csv
2017-04-07	Back Office1	25	9	0 days 00:02:05.000000000	0 days 00:38:18.000000000	1 days 00:00:00.000000000	20170407_000000_agent_statistics.csv
2017-04-08	Reception L1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170408_000000_agent_statistics.csv
2017-04-08	Back Office3	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170408_000000_agent_statistics.csv
2017-04-08	Reception Desk	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170408_000000_agent_statistics.csv
2017-04-08	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170408_000000_agent_statistics.csv
2017-04-11	Reception L1	67	29	0 days 00:02:41.000000000	0 days 02:05:31.000000000	1 days 00:00:00.000000000	20170411_000000_agent_statistics.csv
2017-04-11	Back Office3	46	59	0 days 00:01:46.000000000	0 days 01:05:10.000000000	1 days 00:00:00.000000000	20170411_000000_agent_statistics.csv
2017-04-11	Reception Desk	45	16	0 days 00:02:13.000000000	0 days 01:11:14.000000000	1 days 00:00:00.000000000	20170411_000000_agent_statistics.csv
2017-04-11	Back Office1	23	5	0 days 00:03:01.000000000	0 days 00:50:58.000000000	1 days 00:00:00.000000000	20170411_000000_agent_statistics.csv
2017-04-12	Reception L1	59	53	0 days 00:03:07.000000000	0 days 02:06:46.000000000	1 days 00:00:00.000000000	20170412_000000_agent_statistics.csv
2017-04-12	Back Office3	63	38	0 days 00:02:33.000000000	0 days 02:02:33.000000000	1 days 00:00:00.000000000	20170412_000000_agent_statistics.csv
2017-04-12	Reception Desk	41	18	0 days 00:02:36.000000000	0 days 01:20:56.000000000	1 days 00:00:00.000000000	20170412_000000_agent_statistics.csv
2017-04-12	Back Office1	14	8	0 days 00:01:36.000000000	0 days 00:17:58.000000000	1 days 00:00:00.000000000	20170412_000000_agent_statistics.csv
2017-04-13	Reception L1	83	56	0 days 00:01:56.000000000	0 days 02:01:51.000000000	1 days 00:00:00.000000000	20170413_000000_agent_statistics.csv
2017-04-13	Back Office3	40	22	0 days 00:02:22.000000000	0 days 01:10:48.000000000	1 days 00:00:00.000000000	20170413_000000_agent_statistics.csv
2017-04-13	Reception Desk	58	43	0 days 00:02:09.000000000	0 days 01:25:23.000000000	1 days 00:00:00.000000000	20170413_000000_agent_statistics.csv
2017-04-13	Back Office1	6	0	0 days 00:02:06.000000000	0 days 00:10:11.000000000	1 days 00:00:00.000000000	20170413_000000_agent_statistics.csv
2017-04-14	Reception L1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170414_000000_agent_statistics.csv
